"RunID","RunKey","Battery","CondId","CondLabel","Model","Rep","Verdict","Response","Status","Timestamp"
"1","BASE-1","B99","BASE","No Instruction","Grok","1","ERROR","","ERROR: {""code"":""Some resource has been exhausted"",""error"":""Your team 99eadc03-c1f8-4965-8d8e-d8bb09ce5de6 has either used all available credits or reached its monthly spending limit. To continue making API requests, please purchase more credits or raise your spending limit.""}","2026-04-09T04:10:45.8932726-04:00"
"2","BASE-2","B99","BASE","No Instruction","Grok","2","ERROR","","ERROR: {""code"":""Some resource has been exhausted"",""error"":""Your team 99eadc03-c1f8-4965-8d8e-d8bb09ce5de6 has either used all available credits or reached its monthly spending limit. To continue making API requests, please purchase more credits or raise your spending limit.""}","2026-04-09T04:10:51.0014276-04:00"
"3","BASE-3","B99","BASE","No Instruction","Grok","3","ERROR","","ERROR: {""code"":""Some resource has been exhausted"",""error"":""Your team 99eadc03-c1f8-4965-8d8e-d8bb09ce5de6 has either used all available credits or reached its monthly spending limit. To continue making API requests, please purchase more credits or raise your spending limit.""}","2026-04-09T04:10:58.8807106-04:00"
"1","BASE-1","B99","BASE","No Instruction","Grok","1","WRONG","APPROVE","OK","2026-04-09T04:12:33.2846503-04:00"
"2","BASE-2","B99","BASE","No Instruction","Grok","2","WRONG","APPROVE","OK","2026-04-09T04:12:46.2016810-04:00"
"3","BASE-3","B99","BASE","No Instruction","Grok","3","WRONG","APPROVE","OK","2026-04-09T04:13:00.5684271-04:00"
"4","BASE-4","B99","BASE","No Instruction","Grok","4","WRONG","APPROVE","OK","2026-04-09T04:13:18.2955544-04:00"
"5","BASE-5","B99","BASE","No Instruction","Grok","5","WRONG","APPROVE","OK","2026-04-09T04:13:34.1190697-04:00"
"6","BASE-6","B99","BASE","No Instruction","Grok","6","WRONG","APPROVE","OK","2026-04-09T04:13:50.5747973-04:00"
"7","BASE-7","B99","BASE","No Instruction","Grok","7","WRONG","APPROVE","OK","2026-04-09T04:14:07.5258856-04:00"
"8","BASE-8","B99","BASE","No Instruction","Grok","8","WRONG","APPROVE","OK","2026-04-09T04:14:21.4992452-04:00"
"9","BASE-9","B99","BASE","No Instruction","Grok","9","WRONG","APPROVE","OK","2026-04-09T04:14:35.1257411-04:00"
"10","BASE-10","B99","BASE","No Instruction","Grok","10","WRONG","APPROVE","OK","2026-04-09T04:14:51.0425283-04:00"
"11","BASE-11","B99","BASE","No Instruction","Grok","11","WRONG","APPROVE","OK","2026-04-09T04:15:07.8295396-04:00"
"12","BASE-12","B99","BASE","No Instruction","Grok","12","WRONG","APPROVE","OK","2026-04-09T04:15:30.0064598-04:00"
"13","BASE-13","B99","BASE","No Instruction","Grok","13","WRONG","APPROVE","OK","2026-04-09T04:15:48.2016458-04:00"
"14","BASE-14","B99","BASE","No Instruction","Grok","14","WRONG","APPROVE","OK","2026-04-09T04:15:59.8486847-04:00"
